City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Altamira,BR,80.69,scattered clouds,-3.2033,-52.2064,Requinte Hotel
4,Ahuimanu,US,76.75,broken clouds,21.4447,-157.8378,Paradise Bay Resort
5,Saint-Philippe,RE,80.19,scattered clouds,-21.3585,55.7679,Le four à pain
10,Sur,OM,82.67,clear sky,22.5667,59.5289,Sur Plaza Hotel
17,Hermanus,ZA,76.8,overcast clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
18,Tumaco,CO,75.83,overcast clouds,1.7986,-78.8156,Calle nueva creación
20,Atuona,PF,76.64,light rain,-9.8,-139.0333,Villa Enata
29,Vaini,TO,77.16,scattered clouds,-21.2,-175.2,Keleti Beach Resort
34,Coahuayana,MX,76.01,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
36,Soyo,AO,80.33,overcast clouds,-6.1349,12.3689,Hospedaria ndozi'ame
37,Jaora,IN,77.9,clear sky,23.6333,75.1333,Hotel Celebration
38,Butaritari,KI,81.36,broken clouds,3.0707,172.7902,Isles Sunset Lodge
46,Bredasdorp,ZA,76.5,broken clouds,-34.5322,20.0403,Bredasdorp Country Manor
50,Thinadhoo,MV,82.09,broken clouds,0.5333,72.9333,
59,Kavaratti,IN,82.99,broken clouds,10.5669,72.642,Green leaf
61,Port Alfred,ZA,77.74,overcast clouds,-33.5906,26.891,The Halyards Hotel & Spa
65,East London,ZA,75.16,light rain,-33.0153,27.9116,Tu Casa
67,Kruisfontein,ZA,85.89,clear sky,-34.0033,24.7314,Oyster Bay House Rental
68,Grand Gaube,MU,79.2,few clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
73,Hirara,JP,78.75,clear sky,24.8,125.2833,Hotel Atoll Emerald Miyakojima
74,Bushehr,IR,87.89,overcast clouds,28.9684,50.8385,Yas Hotel
78,Cape Town,ZA,75.9,broken clouds,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
80,Gamba,GA,80.87,broken clouds,-2.65,10.0,
81,Kapaa,US,75.18,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
90,Vila Velha,BR,82.35,broken clouds,-20.3297,-40.2925,Hotel Vitória Palace
92,Auki,SB,77.61,moderate rain,-8.7676,160.7034,Auki Motel
95,Labuhan,ID,81.84,light rain,-6.8844,112.2051,DoubleFAG
99,Port Elizabeth,ZA,88.11,clear sky,-33.918,25.5701,39 On Nile Guest House
102,Cockburn Town,TC,82.38,clear sky,21.4612,-71.1419,Osprey Beach Hotel
109,Hambantota,LK,83.91,broken clouds,6.1241,81.1185,Bungalow 63
